service_name,image_or_build,command/entrypoint,published_ports,exposed_ports,volumes,env_vars,depends_on,networks,restart_policy,stateful,service_type,needs_init,cpu_limits,memory_limits
boulder,/Users/sheurich/src/sheurich/boulder/test/boulder-tools,test/entrypoint.sh,"4001:4001, 4002:4002, 4003:4003",none,"/Users/sheurich/src/sheurich/boulder:/boulder:cached, /Users/sheurich/src/sheurich/boulder/.gocache:/root/.cache/go-build:cached, /Users/sheurich/src/sheurich/boulder/test/certs/.softhsm-tokens:/var/lib/softhsm/tokens/:cached","FAKE_DNS=<redacted>, BOULDER_CONFIG_DIR=<redacted>, GOCACHE=/boulder/.gocache/go-build-next, GOFLAGS=<redacted>","bmysql, bproxysql, bredis_1, bredis_2, bredis_3, bredis_4, bconsul, bjaeger, bpkimetal","bouldernet, publicnet, publicnet2",none,True,app,False,none,none
bsetup,letsencrypt/boulder-tools:${BOULDER_TOOLS_TAG:-latest},test/certs/generate.sh,none,none,"/Users/sheurich/src/sheurich/boulder:/boulder:cached, /Users/sheurich/src/sheurich/boulder/.gocache:/root/.cache/go-build:cached, /Users/sheurich/src/sheurich/boulder/test/certs/.softhsm-tokens:/var/lib/softhsm/tokens/:cached",none,none,none,none,True,build,True,none,none
bmysql,mariadb:10.6.22,mysqld --bind-address=0.0.0.0 --slow-query-log --log-output=TABLE --log-queries-not-using-indexes=ON,none,none,none,MYSQL_ALLOW_EMPTY_PASSWORD=<redacted>,none,bouldernet,none,False,db,False,none,none
bproxysql,proxysql/proxysql:2.5.4,proxysql -f --idle-threads -c /test/proxysql/proxysql.cnf --initial,none,none,/Users/sheurich/src/sheurich/boulder/test:/test/:cached,none,bmysql,bouldernet,none,True,support,False,none,none
bredis_1,redis:6.2.7,redis-server /test/redis-ocsp.config,none,none,/Users/sheurich/src/sheurich/boulder/test:/test/:cached,none,none,bouldernet,none,True,cache,False,none,none
bredis_2,redis:6.2.7,redis-server /test/redis-ocsp.config,none,none,/Users/sheurich/src/sheurich/boulder/test:/test/:cached,none,none,bouldernet,none,True,cache,False,none,none
bredis_3,redis:6.2.7,redis-server /test/redis-ratelimits.config,none,none,/Users/sheurich/src/sheurich/boulder/test:/test/:cached,none,none,bouldernet,none,True,cache,False,none,none
bredis_4,redis:6.2.7,redis-server /test/redis-ratelimits.config,none,none,/Users/sheurich/src/sheurich/boulder/test:/test/:cached,none,none,bouldernet,none,True,cache,False,none,none
bconsul,hashicorp/consul:1.15.4,consul agent -dev -config-format=hcl -config-file=/test/consul/config.hcl,none,none,/Users/sheurich/src/sheurich/boulder/test:/test/:cached,none,none,bouldernet,none,True,support,False,none,none
bjaeger,jaegertracing/all-in-one:1.50,none,none,none,none,none,none,bouldernet,none,False,support,False,none,none
bpkimetal,ghcr.io/pkimetal/pkimetal:v1.20.0,none,none,none,none,none,none,bouldernet,none,False,pki,False,none,none
